frequency,dB
10,73
12,80.5
16,80
20,81
22,80
24,78.5
26,80
28,81
30,80
35,79
40,78
42,82
47,87.5
56,87
60,84
65,82
75,82.5
80,82
84,87
105,85
130,84
140,74
160,81
170,79
180,83
220,82
260,83
270,80
280,79
320,81.5
390,81
415,83
450,74
480,71
520,73
550,70
580,76
600,74
640,73
680,74
720,67
750,77
780,74
820,75
870,73
920,78
960,80
1100,76
1150,80
1240,75
1300,76
1370,75
1440,78
1510,77
1580,78
1650,75
1720,79
1790,77
1860,78
1930,77
2200,78
2300,75
2400,79
2500,76
2600,78
2800,76
2860,78
3000,76
3100,79
3600,75
4000,77
4200,76
4400,78
4600,79
5200,76
5300,77
5600,75
5900,79
6200,75
6400,78
6700,77
7100,78
7300,77
7500,78
8200,77
8800,78
9250,77
9770,79
10290,77
10810,77.5
13000,79
13500,78
14500,76
15000,78
15500,78
16500,76
16800,78
17000,74
18000,79
18500,75
18800,79
19500,74
20000,75
